name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR12991184	Escherichia coli	562	S	96	11	107	1.0
MVC629	Escherichia coli	562	S	107	11	118	1.0
MVAST6277	Escherichia coli	562	S	51	5	56	1.0
SRR12744005	Escherichia coli	562	S	98	7	105	1.0
SRR12424844	Escherichia coli	562	S	54	5	59	1.0
SRR12377545	Escherichia coli	562	S	80	19	99	1.0
SRR12764110	Escherichia coli	562	S	76	12	88	1.0
SRR11892866	Escherichia coli	562	S	76	7	83	1.0
SRR10211824	Escherichia coli	562	S	74	8	82	1.0
MVC628	Escherichia coli	562	S	96	8	104	1.0
SRR10947173	Escherichia coli	562	S	65	12	77	1.0
MVC378_P5	Escherichia coli	562	S	83	4	87	1.0
AA25	Escherichia coli	562	S	85	15	100	1.0
SRR10230876	Escherichia coli	562	S	63	9	72	1.0
SRR9831357	Escherichia coli	562	S	68	5	73	1.0
SRR11080856	Escherichia coli	562	S	128	17	145	1.0
MVC426	Escherichia coli	562	S	99	25	124	1.0
SRR9029549	Escherichia coli	562	S	88	9	97	1.0
SRR10502041	Escherichia coli	562	S	156	12	168	1.0
SRR8728078	Escherichia coli	562	S	103	10	113	1.0
DRR102837	Klebsiella pneumoniae	573	S	4	0	4	0.03077
DRR102837	Escherichia coli	562	S	119	6	125	0.96154
